,empty_slots,free_bikes,citibike_id,citibike_station
155,11,13,9130f9aa3bb037a04c17e6f2630327e5,8th & Yukon
156,9,3,9a48ca226f82f52d02707b054ebc7e9e,Princess & Union
157,9,12,b3bb9f58d3530d33a1a09b6be9e973e0,Dunsmuir & Richards
158,18,1,c2f4e05c01ea0d27934ac7dbc50cbd0c,5th & Main
159,8,12,9a5478470b56379c31cf4e671584d5cc,3rd & Quebec
160,8,8,257715b845828e027ff35dd0f11c971e,Richards & Cordova
161,13,7,910027847876403b57f1013c16504688,Richards & Robson
162,18,7,06487275cd19694152824c7c3088e8ff,Olympic Village Station
163,13,1,b428c0e64d9b9fdb3bf8e85c95ffdf6b,Campbell & Hastings
164,10,4,d085c6749a32517e1fb0d070e4128402,Cardero & Davie
165,4,36,a6aec7b8c25da4c02829cd7839b8933d,Aquatic Centre
166,10,10,c924f6a41b130fad49cfae47271314bc,Beach & Broughton
167,8,13,8e93d0da1ee6caadf21ed9575b5fa9da,Beach & Cardero
168,0,18,9413725a5d3bb5ce2ad0682b07a3ffab,Georgia & Homer
169,10,8,7ed043a19e6a4ece742fe747b663bdbf,Columbia & 5th
170,0,20,ce5dccf5a0f190bb4567a2fd93e7971e,Haro & Denman
171,10,8,1d442ad1a71774c82688a45954e47bfd,Arbutus & 10th
172,12,2,2781435bde344e1b64f1bebac6bc9008,Ontario & 16th
173,11,1,e9b37f2d9b7b2e2e3ade73f13acb69b2,Richards & Davie
174,17,0,fffd87607aaae16fbb1f71615cbe7d17,8th & Prince Edward
175,12,7,da8b6e94f90ad41a3f8de10596992372,Jervis & Robson
176,18,0,32f70f7ae14ba87523c6286a6c4d5c37,Smithe & Burrard
177,8,1,df5ab349a7a85d4b10da4cc3ec65c607,Broughton & Davie
178,10,4,e0318460138ffbf4692005d5b5a9f900,Cypress & 10th
179,18,13,db51c556fe50ec1deefbc9697c70cb51,Granville Island
180,5,11,58a026f0c506caec20697a4f90538450,McLean & Pender
181,18,0,0e0aef6fabaa808b3a3cef24657257a4,Richards & Smithe
182,23,2,90c746df94ce1a12f1f617acfe4a8ce3,Bute & Robson
183,3,17,80b5c12ef21fd47275d37b2c9935249c,Trafalgar & Cornwall
184,4,20,899f59a9994302e8e1e4be01117ef707,Alma & Point Grey
185,5,9,8d2d5bb3b9142f781f2a7f441e6bad7a,Point Grey & Blenheim
186,6,17,5de0fe55497681d4cc9dd25509cf51ab,Hastings & Broughton
187,4,14,2681455ba2d97283998a806b14d3e95c,Yew & Broadway
188,7,15,064a7b39b1dbc4bfc4cf8f454e360c57,8th & Macdonald
189,3,15,9c1397c06e07bf74fc049f1a0872eea0,Balaclava & Broadway
190,7,18,9763838317308a4766b83696986a157b,Dunbar & Broadway
191,6,10,c64ee19c62a363019ddbaedf71df2882,Grandview & Commercial
192,7,4,421516af381a11f54d07fc79be68d3d3,14th & Oak
193,4,14,38f045e3f43f86eae42ca4c60257ade0,Wallace & 4th
194,2,18,5ba6e9725b1b0ee8cd25df976e47726b,Balsam & Cornwall
195,1,14,f90ed7ad754ec04b7852941a480a4c77,Balaclava & 6th
196,2,13,abfaf72456a4828a22f5bf60d3a80777,Trafalgar & Broadway
197,5,10,2ff7eb4230654603592ab1b0780ec5e1,Dunbar & 6th
198,22,2,ea9485fcdce0611243474d000e4ad248,18th & Cambie
199,17,6,671ce9e4a92063620f772d2c57f0f3ab,Blenheim & 4th
200,9,7,41a55a7e2908fbbd65175b794d26bc8d,Heather & 18th
201,2,14,a59924f0ff3fb481a7bd8a5e9c36858f,Point Grey & Bayswater
202,11,3,89a0b49a66e54a7639ad960962148a3e,20th & Main
203,10,7,44fc3d58831a9f2b919c7a3a1838b74a,Station & Terminal
204,11,21,d40db8c27c5bd409d57cfa846f73c378,Jericho Beach
205,19,3,4990fe5772f3b73eebeec125b41e478e,Burrard & Drake
206,11,13,bf96df77771ef0ed710d8e0e67917f45,Columbia & 1st
207,7,23,e75e83499d3fa2e174dc2a8ffd238119,Davie & Beach
208,22,4,0438114d2e6b96118de69bc9775bb21e,Morton & Denman
209,12,0,07b13214cb69f2ec007d888450f3d6bc,13th & Cambie
210,2,15,f5e8fa1fc4252bda2f93dd27ed2d603f,Nelson & Denman
211,1,13,c2a9c5d0e4578b928554c86f3d2c1162,Melville & Bute
212,7,11,5f45325fdd6334a4c0d3b62853b19fa6,Seymour & Cordova
213,4,12,085a0e120a08a80a58c0ae0ff9da565a,Arbutus & Nanton
214,2,15,8d5f47f01d7ad668419dfe9b7fe69c9a,Yukon & 6th
215,15,1,bede4b24dae115d4cd43d2e6cc9812cb,11th & Kingsway
216,6,4,680b1ddfd50c4397b365c9c00f09b0d1,Wylie & 2nd
217,20,0,b26f83e904f3a778466ebcd763b7316a,29th & Cambie
218,7,5,6620c54bd6b3a79800b2b67e999b24d0,Rolston & Granville
219,12,8,7f091b50fbbd892bf9fb869a64c47120,East Blvd & 37th
220,14,2,57d39a680c9407cda0fb4de6d9c55138,28th & Willow
221,12,0,97388f4e4ea102a30345524bda465f4e,Ontario & 23rd
222,20,0,066ecc3584913fa035ec1417323beb80,30th & Ontario
223,13,7,b530d04d393d71cffb8b8b07f4a82380,Franklin & Nanaimo
224,10,6,06bdc4d55f34b2a491305534fd5defda,Lakewood & Triumph
225,8,10,8e44a17d2fa446ca220b90c7063b42ca,Wall & Eton
226,11,7,7c17f51469f1a7145455f65ef6afbd87,Lakewood & Oxford
227,10,4,e1432b72df561a1df34290679ec9c773,22nd & Cambie
228,11,0,549f00f6039e8bb702a00dcca08a8ed0,King Edward & Cambie
229,22,0,d8c4fe5e09b6f010fbaa85cc7302d66b,Heather & 29th
230,6,19,0c42f45e4a14957ad4a6d521d0ba8bc3,Cardero & Robson
231,14,5,62a202eb98c0a4b09ba6746f5ee94ab3,Commercial & 20th
232,13,5,04f64fde5ba1ebde8ad78c74914adb34,Burrard & 14th
233,23,0,cc2084e365f6f230fe26bae0b6867775,Hornby & Drake
234,11,9,f38bac9712f3beee2149ba2a97048878,Cardero & Bayshore
235,20,0,9ee3bc9e836768e3e04e4f3328dae03b,27th & Main
236,5,12,aa1cbf97abc3cd50515bc54633a9bb2a,Cordova & Granville
237,13,0,13021bba7bbeca1ccd8726ca17da59e6,22nd & Main
238,0,20,5699b40126e10c2f68eefc3eb18ff3a1,1st & Fir
239,18,4,34fd37d12eb989b49518ef53941ee3ff,Sasamat & 10th
240,14,6,b7dd37a7dd668d6d10024b7f18acc438,Trimble & 8th
241,15,4,cc25ae4f093b33ba0afd1dbc0dd20324,Highbury & 8th
242,11,8,db1e56a71a3279f51301d732ee5a055b,IK Barber Learning Centre
243,22,5,5726de7c5646b82f7aaeafba50aee03e,War Memorial Gym
244,23,1,cde61c70e5556ee2fe3ceb9d958b6482,Pharmaceutical Sciences
245,12,8,852212d6d52b5f00544fad01d21c7db2,Georgia & Main
246,19,0,3dae5d936bb6b222d135eff52833e7f4,Bute & Davie
247,0,0,10acadd77bc21f26a7f09d8c74d4af2d,Robson & Beatty
248,12,8,58345bb719f4e570ed4edc9dfa6a68a2,West Mall Swing Space Building
249,21,5,261efc67071963969b3f848c66454d97,Orchard Commons
250,15,12,ee620d77724c8993b0d366e7ec655b64,Wesbrook Village - Berton & Shrum
